id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url,duracao,Mean_l,Q0.05,Q0.1,Q0.15,Q0.2,Q0.25,Q0.3,Q0.35,Q0.4,Q0.45,Q0.5,Q0.55,Q0.6,Q0.65,Q0.7,Q0.75,Q0.8,Q0.85,Q0.9,Q0.95,Mediana_r,Mean_r
QNUCoIn4WjE,GTA IV! fazendo uma missão :),2014-04-10T23:55:53Z,Mr. C4!!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,31,3,0,0,https://www.youtube.com/watch?v=QNUCoIn4WjE,310.1,-0.046505433123511256,-3183,-1695,-960,-611,-417,-251,-191,-152,-38,36,60,88,194,296,389,592,984,1717,3187,NA,NA
p2j-OLQMJNE,Aviso importante sobre o canal!!!! Atomicpocket,2014-04-16T19:17:06Z,E a tristeza vai as alturas!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,69,5,0,0,https://www.youtube.com/watch?v=p2j-OLQMJNE,33.12,0.006529916465378422,-3469,-2036,-1325,-878,-569,-378,-203,-159,-22,46,68,115,285,407,638,985,1423,2064,3242,NA,NA
-VgwmOI0XUw,Star Wars: The Force Unleashed II! Ep 1,2014-04-20T00:48:00Z,O jogo mais surpreendente de todos XD!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,34,3,0,0,https://www.youtube.com/watch?v=-VgwmOI0XUw,587.18,-45.7722524678451,-2245,-1481,-1066,-811,-615,-471,-342,-224,-147,-31,37,155,250,368,524,716,997,1399,2163,-31,-45.77228174029421
zUZ2b-V2u5I,Star Wars: The Force Unleashed II! Ep 2,2014-04-21T02:04:57Z,Robôs de gelo :(,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,22,3,0,1,https://www.youtube.com/watch?v=zUZ2b-V2u5I,480.67,0.009988966835319442,-3273,-2110,-1507,-1119,-833,-612,-423,-258,-134,19,132,289,443,623,851,1144,1539,2140,3262,NA,NA
e-D8CxFSc_8,Star Wars: The Force Unleashed II Ep 3!,2014-04-23T09:26:35Z,A fuga e o Coliseu Galatico!!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,22,3,0,0,https://www.youtube.com/watch?v=e-D8CxFSc_8,540.62,-0.01384306992167076,-2953,-1929,-1391,-1033,-769,-567,-402,-236,-125,22,122,275,413,583,798,1063,1428,1965,2946,NA,NA
uhlt8MfueJU,Star Wars: The Force Unleashed II! Ep 5,2014-04-25T19:15:36Z,E a maldição da nave continua e o pulo épico :O,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,14,3,0,0,https://www.youtube.com/watch?v=uhlt8MfueJU,540.24,-0.0035917678562614147,-2795,-1738,-1203,-874,-639,-448,-314,-191,-103,26,90,218,324,483,652,897,1247,1780,2803,NA,NA
tV_n8icZXGg,Star Wars: The Force Unleashed II! Ep 4,2014-04-25T19:16:11Z,Nave malditaaaaa! :(,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,30,3,0,0,https://www.youtube.com/watch?v=tV_n8icZXGg,509.83,0.016623694994952587,-3005,-1977,-1435,-1079,-810,-601,-421,-257,-131,19,137,290,445,618,834,1105,1472,2008,2996,NA,NA
7eG3nIaKofY,Star Wars: The Force Unleashed II! Ep 6,2014-04-25T22:19:43Z,As muralhas mais frágeis do mundo!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,12,2,0,0,https://www.youtube.com/watch?v=7eG3nIaKofY,482.11,-0.027865758717199877,-2786,-1719,-1196,-879,-650,-464,-334,-200,-106,22,100,231,339,500,670,903,1237,1757,2801,NA,NA
5qddEexpya4,Star Wars: The Force Unleashed II! Ep 7,2014-04-25T23:12:12Z,A morte do boss da nave e pedido de desculpas! :D,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,17,2,0,0,https://www.youtube.com/watch?v=5qddEexpya4,183.79,-0.07297118935173094,-3306,-2233,-1655,-1262,-960,-717,-511,-336,-161,14,171,342,537,749,991,1285,1678,2249,3261,NA,NA
B_XX296aDM4,Star Wars: The Force Unleashed II! Ep 8,2014-04-26T10:24:04Z,The Gorog o maior monstro do universo!!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,14,3,0,0,https://www.youtube.com/watch?v=B_XX296aDM4,566.57,0.003254684345038901,-3012,-1956,-1405,-1043,-778,-580,-413,-249,-132,16,127,277,422,587,799,1062,1431,1984,3010,NA,NA
6XhcEqeRjQw,Star Wars: The Force Unleashed II! Ep 9,2014-04-26T12:25:34Z,A incrível morte de The Gorog!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,4,3,0,0,https://www.youtube.com/watch?v=6XhcEqeRjQw,480.34,0.0076759202585967605,-3091,-1911,-1322,-947,-693,-494,-358,-212,-112,20,104,246,355,527,725,985,1354,1956,3099,NA,NA
AB1bULXPOac,Star Wars: The Force Unleashed II! Ep 10,2014-04-26T18:01:12Z,Reencontrando a Juno!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,6,2,0,0,https://www.youtube.com/watch?v=AB1bULXPOac,567.36,0.02979538270821583,-2649,-1565,-1067,-770,-586,-431,-299,-192,-103,21,88,214,310,447,585,797,1088,1592,2649,NA,NA
P244EFRBfdE,Meu aniversario!!! Atomicpocket :),2014-04-26T18:01:19Z,O atomicpocket mais vergonhante de todos!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,29,2,0,NA,https://www.youtube.com/watch?v=P244EFRBfdE,72.74,0.056577976648704134,-2927,-1869,-1231,-828,-525,-361,-208,-163,-35,38,64,119,274,360,573,865,1269,1829,2821,NA,NA
I0mEgi5duNc,Star Wars: The Force Unleashed II! Ep 11,2014-04-27T01:50:33Z,Boba Feet o sequestrador e a aventura pelos motores da nave!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,6,3,0,0,https://www.youtube.com/watch?v=I0mEgi5duNc,482.38,0.08725536891000658,-2420,-1574,-1144,-868,-660,-481,-358,-215,-118,16,104,242,347,507,665,871,1162,1594,2450,NA,NA
PU9Ng34RUoM,Star Wars: The Force Unleashed II! Ep 12,2014-04-29T17:20:08Z,Matando o Terror Walker a maior aranha do universo!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,16,2,0,0,https://www.youtube.com/watch?v=PU9Ng34RUoM,566.11,0.029350420058221693,-2945,-1922,-1386,-1031,-772,-574,-408,-249,-130,14,125,274,411,579,788,1045,1399,1938,2944,NA,NA
