id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url
tV_n8icZXGg,Star Wars: The Force Unleashed II! Ep 4,2014-04-25T19:16:11Z,Nave malditaaaaa! :(,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,30,3,0,0,https://www.youtube.com/watch?v=tV_n8icZXGg
7eG3nIaKofY,Star Wars: The Force Unleashed II! Ep 6,2014-04-25T22:19:43Z,As muralhas mais frágeis do mundo!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,12,2,0,0,https://www.youtube.com/watch?v=7eG3nIaKofY
5qddEexpya4,Star Wars: The Force Unleashed II! Ep 7,2014-04-25T23:12:12Z,A morte do boss da nave e pedido de desculpas! :D,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,17,2,0,0,https://www.youtube.com/watch?v=5qddEexpya4
B_XX296aDM4,Star Wars: The Force Unleashed II! Ep 8,2014-04-26T10:24:04Z,The Gorog o maior monstro do universo!!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,14,3,0,0,https://www.youtube.com/watch?v=B_XX296aDM4
6XhcEqeRjQw,Star Wars: The Force Unleashed II! Ep 9,2014-04-26T12:25:34Z,A incrível morte de The Gorog!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,4,3,0,0,https://www.youtube.com/watch?v=6XhcEqeRjQw
AB1bULXPOac,Star Wars: The Force Unleashed II! Ep 10,2014-04-26T18:01:12Z,Reencontrando a Juno!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,6,2,0,0,https://www.youtube.com/watch?v=AB1bULXPOac
P244EFRBfdE,Meu aniversario!!! Atomicpocket :),2014-04-26T18:01:19Z,O atomicpocket mais vergonhante de todos!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,29,2,0,NA,https://www.youtube.com/watch?v=P244EFRBfdE
I0mEgi5duNc,Star Wars: The Force Unleashed II! Ep 11,2014-04-27T01:50:33Z,Boba Feet o sequestrador e a aventura pelos motores da nave!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,6,3,0,0,https://www.youtube.com/watch?v=I0mEgi5duNc
PU9Ng34RUoM,Star Wars: The Force Unleashed II! Ep 12,2014-04-29T17:20:08Z,Matando o Terror Walker a maior aranha do universo!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,16,2,0,0,https://www.youtube.com/watch?v=PU9Ng34RUoM
6zMHG9jJ8DE,Star Wars: The Force Unleashed II! Ep 13,2014-04-30T18:09:26Z,Aventura pelos motores da nave! parte 2 kkkkk,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,9,2,0,0,https://www.youtube.com/watch?v=6zMHG9jJ8DE
j4S4ZwiIuqo,Star Wars: The Force Unleashed II! Ep 14,2014-05-01T14:45:44Z,Robôs de fogo e guerra no espaço,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,9,3,0,1,https://www.youtube.com/watch?v=j4S4ZwiIuqo
W_VsL90UpW4,Star Wars: The Force Unleashed II! Ep 15,2014-05-01T19:41:05Z,A grande explosão da nave inimiga e abandon ship!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,53,3,0,0,https://www.youtube.com/watch?v=W_VsL90UpW4
FnmKnUtB5Xk,Star Wars: The Force Unleashed II! Ep 16,2014-05-02T18:36:14Z,A grande fuga da nave em chamas!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,15,3,0,0,https://www.youtube.com/watch?v=FnmKnUtB5Xk
_FbyDY3qZfc,Star Wars: The Force Unleashed II! Ep 17,2014-05-04T17:10:49Z,Minhas primeiras montagens e o bug da porta!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,14,2,0,0,https://www.youtube.com/watch?v=_FbyDY3qZfc
VxbkZGlVRTw,Star Wars: The Force Unleashed II! Ep 18,2014-05-07T22:25:23Z,Voltando ao ponto de inicio e espada preta :O,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,26,3,0,0,https://www.youtube.com/watch?v=VxbkZGlVRTw
Y_kgj9y7foI,Star Wars: The Force Unleashed II! Ep 19,2014-05-08T20:25:26Z,Fazendo parkur no Star Wars :),UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,5,2,0,0,https://www.youtube.com/watch?v=Y_kgj9y7foI
YNbQG9SZ8fI,Star Wars: The Force Unleashed II! Ep 20,2014-05-09T09:15:45Z,Lutando contra Lord Vader!!!! XD,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,8,3,0,0,https://www.youtube.com/watch?v=YNbQG9SZ8fI
HysQoZuDEdk,Star Wars: The Force Unleashed II! Ep 21,2014-05-09T18:34:16Z,A morte de Juno!!!!! ; - ;,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,4,3,0,0,https://www.youtube.com/watch?v=HysQoZuDEdk
